gene p_val avg_logFC p_val_adj cluster
Plac8 0 2,52300046 0 0
Hp 0 2,06883801 0 0
Ly6c2 0 1,73516456 0 0
Ms4a4c 0 1,69234936 0 0
Sirpb1c 0 1,67430965 0 0
Cd52 1,99E-294 1,43076069 2,47E-290 0
Ifitm3 2,30E-287 1,78873659 2,86E-283 0
Ccr2 1,53E-260 1,35862323 1,90E-256 0
Tmsb10 6,78E-259 1,55230843 8,44E-255 0
Mcemp1 9,82E-257 1,27425037 1,22E-252 0
Emb 1,49E-251 1,33036411 1,85E-247 0
Thbs1 5,47E-244 1,63437119 6,81E-240 0
Napsa 5,32E-236 1,22168451 6,63E-232 0
Coro1a 9,07E-236 1,13392979 1,13E-231 0
Msrb1 3,95E-231 1,36089362 4,91E-227 0
Ifitm2 1,13E-229 1,0003273 1,40E-225 0
Il1b 2,10E-229 2,1185478 2,61E-225 0
Ifitm6 6,40E-223 1,66292653 7,97E-219 0
Plbd1 9,59E-219 1,04646211 1,19E-214 0
Clec4e 3,57E-215 1,27492179 4,45E-211 0
Ms4a6c 5,94E-212 1,06624445 7,40E-208 0
Lst1 8,09E-210 1,22365761 1,01E-205 0
Rplp0 9,35E-210 0,75284936 1,16E-205 0
Pkm 6,25E-208 1,0523869 7,77E-204 0
Tyrobp 1,73E-199 0,58458152 2,15E-195 0
S100a11 2,33E-187 0,9866723 2,91E-183 0
Ltb4r1 1,18E-186 1,04262787 1,46E-182 0
Actg1 2,59E-182 0,81750302 3,22E-178 0
Slpi 6,18E-175 1,41857082 7,70E-171 0
H3f3a 8,70E-175 0,64173382 1,08E-170 0
Gm9733 1,47E-164 0,92545921 1,84E-160 0
Chil3 4,50E-164 1,55379769 5,60E-160 0
Gm5150 1,88E-161 0,77993018 2,34E-157 0
Sirpb1b 1,22E-158 0,81101755 1,51E-154 0
Arpc1b 2,77E-154 0,57756739 3,45E-150 0
Tgfbi 1,14E-153 0,90919276 1,42E-149 0
Hspa8 2,04E-152 0,65235246 2,54E-148 0
Srgn 1,63E-150 0,90051987 2,03E-146 0
Taldo1 1,84E-150 0,90632109 2,30E-146 0
Cd177 2,47E-145 0,72507329 3,07E-141 0
Lgals3 1,89E-144 0,48440157 2,35E-140 0
Tarm1 4,71E-144 0,73705324 5,86E-140 0
F10 1,11E-140 0,87645911 1,38E-136 0
Dmkn 5,90E-140 1,14120105 7,34E-136 0
Clec4d 1,41E-135 0,91651601 1,76E-131 0
Rps9 7,35E-133 0,45557039 9,14E-129 0
Prdx5 3,57E-131 0,82680428 4,44E-127 0
Rps6 1,09E-130 0,49688958 1,35E-126 0
Klra2 2,11E-130 0,69807825 2,62E-126 0
Fau 4,37E-126 0,39195916 5,44E-122 0
Cytip 1,40E-125 0,84311022 1,75E-121 0
Rpl13 1,32E-122 0,39994882 1,64E-118 0
Gngt2 7,50E-121 0,90815646 9,33E-117 0
Vcan 1,76E-120 0,9658204 2,19E-116 0
Osm 1,25E-119 1,37405285 1,56E-115 0
Ifitm1 3,74E-118 0,65749819 4,66E-114 0
Cyp4f18 1,54E-117 0,8601857 1,92E-113 0
Pim1 9,29E-116 0,99377937 1,16E-111 0
Pla2g7 9,60E-116 0,97272123 1,19E-111 0
Fcgr1 6,44E-114 0,92111999 8,01E-110 0
Rps27 8,15E-113 0,35782953 1,01E-108 0
