Cluster	Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
FLS	F13a1	5.74E-171	2.888714	0.906	0.01	1.1E-166
FLS	Col22a1	3.79E-166	2.335707	0.75	0.003	7.26E-162
FLS	Clic5	3.34E-136	3.467433	0.875	0.016	6.39E-132
FLS	Gchfr	6.46E-104	1.111849	0.562	0.006	1.24E-99
FLS	Tspan15	4.99E-103	2.685473	0.875	0.03	9.56E-99
FLS	Tmem196	1.64E-102	0.800652	0.5	0.003	3.14E-98
FLS	Dlx3	9.02E-86	1.181168	0.781	0.028	1.73E-81
FLS	Itga6	2.17E-73	1.630272	0.781	0.038	4.15E-69
FLS	Fut9	6.1E-67	0.360444	0.312	0.002	1.17E-62
FLS	Rab37	1.91E-65	0.504096	0.281	0.001	3.66E-61
Osteo	Ibsp	3.31E-149	4.065684	0.773	0.028	6.33E-145
Osteo	Cdh11	2.08E-118	1.969991	0.773	0.062	3.98E-114
Osteo	Bglap	4.31E-106	4.935723	0.582	0.025	8.25E-102
Osteo	Fgfr2	5.61E-106	1.693455	0.738	0.065	1.07E-101
Osteo	Bglap2	3.66E-102	5.147283	0.582	0.028	7E-98
Osteo	Tnc	3.7E-101	2.352153	0.688	0.056	7.09E-97
Osteo	Runx2	1.03E-100	1.258095	0.546	0.021	1.97E-96
Osteo	Alpl	1.33E-98	2.982731	0.73	0.078	2.55E-94
Osteo	Cd200	3.62E-89	2.454558	0.872	0.182	6.94E-85
Osteo	Sp7	1.36E-75	1.152935	0.369	0.008	2.61E-71BMJ
Chondro	Meltf	1.85E-175	2.485438	0.795	0.005	3.53E-171
Chondro	Ppp1r1b	2.46E-169	1.956606	0.659	0	4.71E-165
Chondro	Mall	3.16E-159	1.639586	0.682	0.003	6.05E-155
Chondro	Hapln1	7.53E-150	2.635117	0.818	0.013	1.44E-145
Chondro	Ucma	4.61E-129	2.381635	0.545	0.002	8.84E-125
Chondro	Cytl1	2.01E-112	6.938956	0.591	0.008	3.86E-108
Chondro	Gdf6	1.06E-110	1.874056	0.432	0	2.02E-106
Chondro	Clec3a	1.12E-102	3.041147	0.591	0.011	2.15E-98
Chondro	Tspan13	5.37E-99	2.384974	0.75	0.027	1.03E-94
Chondro	Cpm	1.81E-89	1.720738	0.614	0.018	3.47E-85
Teno	Angptl7	8.1E-60	3.504045	0.422	0.024	1.55E-55
Teno	Uts2r	2.41E-53	1.093415	0.422	0.028	4.62E-49
Teno	Ccdc3	5.85E-53	1.865815	0.878	0.218	1.12E-48
Teno	Fibin	1.27E-43	2.653455	0.744	0.176	2.43E-39
Teno	Dkk3	4.67E-43	1.400572	0.8	0.207	8.95E-39
Teno	Cilp	6.26E-43	2.189124	0.744	0.169	1.2E-38
Teno	Prelp	3.43E-42	2.548272	0.978	0.753	6.56E-38
Teno	Kera	9.54E-39	2.452145	0.356	0.031	1.83E-34
Teno	Dcn	1.3E-37	1.523629	1	0.978	2.49E-33
Teno	Lox	1.12E-36	1.992322	0.767	0.228	2.15E-32
F1	S100a10	3.06E-52	1.428255	1	0.982	5.86E-48
F1	Anxa8	8.15E-47	2.119704	0.756	0.216	1.56E-42
F1	Tspo	5.49E-45	1.226833	0.992	0.885	1.05E-40
F1	Crip1	1.34E-42	1.406402	1	0.993	2.57E-38
F1	Ociad2	6.66E-42	1.149411	0.614	0.139	1.28E-37
