gene	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	min_FC
Cd74	1.3055571737169013e-202	2.9787163568350223	0.932	0.336	2.708770024027827e-198	0	3.1563635905582266	0.924	0.251	0	1.0608082797970706e-185	2.6401756340480165	0.934	0.3	2.200965018922962e-181	1.0608082797970706e-185	0	2.6401756340480165
H2-Aa	1.3039914383738727e-194	2.8372886275288285	0.908	0.259	2.705521436338111e-190	0	3.3337253498628274	0.889	0.187	0	4.733805654548685e-169	2.5892481887976544	0.895	0.259	9.821699972057611e-165	4.733805654548685e-169	0	2.5892481887976544
H2-Ab1	2.281129477413846e-194	2.9755564891751867	0.904	0.273	4.732887439738248e-190	0	3.2527578321568313	0.901	0.207	0	1.605279397384949e-173	2.5231338749706675	0.903	0.256	3.330633693694292e-169	1.605279397384949e-173	0	2.5231338749706675
H2-Eb1	2.032453058121634e-178	2.9057265609587457	0.853	0.204	4.216933604990767e-174	0	3.2646414053174135	0.849	0.149	0	1.6036147256209036e-148	2.2560124048419574	0.845	0.208	3.3271798327182506e-144	1.6036147256209036e-148	0	2.2560124048419574
Il1b	2.2019022964201536e-49	2.18239271606304	0.392	0.084	4.5685068846125347e-45	6.952349429408624e-72	2.0496780354667234	0.36	0.099	1.4424734596137014e-67	9.511037803678805e-39	1.7077068311769377	0.365	0.078	1.9733501235072784e-34	9.511037803678805e-39	2.0857048288226002e-71	1.7077068311769377
Clec4e	4.673345051002604e-74	1.5343836669498314	0.501	0.087	9.696256311820203e-70	7.756034975767082e-119	1.4646026532220624	0.52	0.142	1.6092221367721542e-114	2.7484735592138676e-74	1.641345180046339	0.538	0.093	5.7025329406569326e-70	4.673345051002604e-74	2.3268104927301165e-118	1.4646026532220624
H2-DMa	1.2379449979211489e-126	1.3558603324023333	0.735	0.149	2.5684882816867996e-122	1.4448877931547603e-240	1.476846609013557	0.752	0.16	2.997853193237497e-236	7.592138505794229e-114	1.3416256193681884	0.711	0.134	1.5752168971821865e-109	7.592138505794229e-114	4.334663379464352e-240	1.3416256193681884
H2-K1	6.531978612941259e-151	1.3474812810686703	0.935	0.852	1.3552549226130525e-146	2.4262388053131925e-242	1.3342152251896184	0.948	0.886	5.033960273263812e-238	1.4033528252810713e-171	1.5122307614802701	0.967	0.772	2.9116764418931668e-167	6.531978612941259e-151	7.278716415939824e-242	1.3342152251896184
H2-D1	3.08613486659686e-178	1.3516830792723113	0.956	0.891	6.403112621215166e-174	1.2905800813437794e-267	1.2723014301062157	0.952	0.948	2.6776955527720733e-263	8.221486510200865e-164	1.2793533459677962	0.975	0.868	1.7057940211364754e-159	8.221486510200865e-164	3.871740244031649e-267	1.2723014301062157
Mpeg1	2.9748867491160374e-113	1.3048525828507718	0.787	0.255	6.172295027065954e-109	7.676536152309924e-190	1.4693795846849476	0.772	0.28	1.5927277208812632e-185	5.8630864734926176e-96	1.262110450746452	0.751	0.254	1.2164731815202483e-91	5.8630864734926176e-96	2.3029608456929998e-189	1.262110450746452
