gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	t_type
Lgals3	5.544268015178981e-6	2.0204204750266404	0.727	0.24	0.1150324727789335	CD8 Teff
Lmna	5.102314274893435e-4	1.9445861943471583	0.647	0.32	1	CD8 Teff
Vim	7.695332768712146e-4	1.7757322545323149	0.813	0.56	1	CD8 Teff
Anxa1	1.6551040557570727e-4	1.757021736546127	0.482	0.08	1	CD8 Teff
Id2	7.28699970767207e-4	1.7009171535614196	0.683	0.44	1	CD8 Teff
AA467197	9.328099895861086e-4	1.6476263950757875	0.374	0.04	1	CD8 Teff
Ccr2	2.1616732578196416e-5	1.6201502725838957	0.576	0.08	0.4485039675324192	CD8 Teff
S100a4	0.0010388278234755395	1.5553958208899221	0.863	0.72	1	CD8 Teff
S100a6	7.789842728844911e-5	1.5405390628229139	0.964	0.8	1	CD8 Teff
S100a11	8.687804420290989e-5	1.538627482803476	0.842	0.72	1	CD8 Teff
Klf6	7.644001451539973e-4	1.520574054600702	0.763	0.56	1	CD8 Teff
Ctla2a	0.0050808648598756065	1.5120569633129102	0.77	0.68	1	CD8 Teff
Hba-a1	0.8650250096753215	1.4560804527533733	0.259	0.24	1	CD8 Teff
Gzmb	0.009704013178165704	1.3430074812753434	0.482	0.2	1	CD8 Teff
Anxa2	3.9941151472797743e-4	1.3292683028492012	0.612	0.24	1	CD8 Teff
Crip1	0.0033138727980401078	1.2756199143293783	0.993	1	1	CD8 Teff
Lgals1	3.4986825064625926e-4	1.2705067469865554	0.928	0.68	1	CD8 Teff
Ccl4	0.10540057882368475	1.235827152860117	0.388	0.24	1	CD8 Teff
Hba-a2	0.794697183969136	1.2307834513313902	0.266	0.24	1	CD8 Teff
Anxa6	5.560851362173913e-5	1.1717892871246354	0.748	0.4	1	CD8 Teff
Hbb-bs	0.007889084118858051	1.1290878970174534	0.482	0.2	1	CD8 Teff
Pdcd1	0.007690083745189712	1.0891007866204865	0.288	0.04	1	CD8 Teff
Clic1	6.067435953961022e-4	1.0856767974753958	0.741	0.52	1	CD8 Teff
Cd2	0.001028802628532435	1.0798353762564963	0.712	0.52	1	CD8 Teff
S100a10	1.3085844288773855e-4	1.0412196611341669	0.957	0.88	1	CD8 Teff
Ms4a4b	3.7523361601433475e-5	1.0402856197821846	0.964	0.84	0.7785347065065418	CD8 Teff
Klrk1	0.0019636552074822396	1.0332012193714208	0.633	0.28	1	CD8 Teff
Tagln2	3.4038040079524377e-4	1.0207537089754641	0.799	0.4	1	CD8 Teff
Cox17	1.3463414617691049e-4	1.0092232171483277	0.806	0.4	1	CD8 Teff
Plec	0.002492545537738966	1.0086148844748626	0.576	0.24	1	CD8 Teff
Sept11	0.0022740779725121513	0.9833390913038171	0.504	0.16	1	CD8 Teff
Cd74	0.004522320897194526	0.9693423961078116	0.259	0	1	CD8 Teff
Cish	0.011117420669801033	0.9628587412867593	0.36	0.12	1	CD8 Teff
Ccl3	0.03400550949199663	0.9519906110593995	0.158	0	1	CD8 Teff
Csf1	0.014760703643413252	0.9442451915940557	0.266	0.04	1	CD8 Teff
S100a9	0.002318813684188979	0.9266905743595959	0.568	0.2	1	CD8 Teff
Jaml	0.005265904385521005	0.9125823488641509	0.252	0	1	CD8 Teff
Snrnp70	0.0013140451599771615	0.9067715335696802	0.676	0.36	1	CD8 Teff
Cox5b	3.0704819614216217e-4	0.9065028630211238	0.77	0.36	1	CD8 Teff
Iqgap1	0.003266821319332455	0.8889696515381145	0.856	0.6	1	CD8 Teff
Cd8a	0.006573630023796906	0.8869814651694339	0.619	0.4	1	CD8 Teff
Cd48	0.008705349243322499	0.8806778583248068	0.518	0.24	1	CD8 Teff
Krit1	0.01089152801943712	0.8757331148658012	0.489	0.24	1	CD8 Teff
Myadm	0.012761797680413202	0.8680022821364536	0.209	0	1	CD8 Teff
Glud1	0.006698384508371829	0.8579208293782316	0.511	0.2	1	CD8 Teff
Ndfip1	2.8583521982865855e-4	0.836690968487338	0.77	0.36	1	CD8 Teff
Nkg7	4.728849286984465e-4	0.8355940840202338	0.957	0.8	1	CD8 Teff
Pag1	0.017429078339231727	0.8274912797536211	0.432	0.2	1	CD8 Teff
S100a8	0.008754607867084947	0.8205082586632537	0.482	0.2	1	CD8 Teff
Gpr183	0.036555978353095715	0.813640481233957	0.511	0.32	1	CD8 Teff
Ptprcap	0.0027010453396618204	0.8134545413540777	0.655	0.32	1	CD8 Teff
Rgs2	0.04986871518579891	0.810847226743699	0.655	0.48	1	CD8 Teff
Samsn1	0.009903003391292046	0.8103874268222666	0.583	0.28	1	CD8 Teff
Ap3s1	0.008801374712662678	0.8103822143059451	0.324	0.08	1	CD8 Teff
Grap	0.007108189919318659	0.8101591257235714	0.345	0.08	1	CD8 Teff
Zcchc9	0.005265904385521005	0.8099603006958396	0.252	0	1	CD8 Teff
Rbpj	0.10133163687001344	0.8065040945772685	0.453	0.36	1	CD8 Teff
Il2ra	0.017533143973309802	0.7967430698590325	0.259	0.04	1	CD8 Teff
Aup1	0.01073477210574519	0.7918384525359065	0.367	0.12	1	CD8 Teff
Neurl3	0.02754399331011406	0.7907849923651358	0.619	0.44	1	CD8 Teff
Hilpda	0.012761797680413202	0.7906259854374976	0.209	0	1	CD8 Teff
Cd28	0.013084723999564783	0.7881572183442593	0.741	0.56	1	CD8 Teff
Sod2	0.003811129518917829	0.784143525247444	0.374	0.08	1	CD8 Teff
H2-Q7	1.2613061290571044e-4	0.7820860507164156	0.957	0.92	1	CD8 Teff
Braf	0.03234168693517105	0.7815095527860443	0.273	0.08	1	CD8 Teff
Cd69	0.00809760589046743	0.7791038213411056	0.439	0.12	1	CD8 Teff
Psmb4	0.0022633883993728285	0.7784001778285062	0.576	0.24	1	CD8 Teff
Raph1	0.0491836956399186	0.7754666325996413	0.302	0.12	1	CD8 Teff
Bhlhe40	0.03866030177289264	0.768284662864287	0.647	0.44	1	CD8 Teff
Prpf4b	0.011737688345052675	0.767490766129674	0.504	0.24	1	CD8 Teff
Bax	0.002771003989482079	0.7590108581219974	0.353	0.04	1	CD8 Teff
Ifng	0.037976974622624275	0.7585727893764139	0.317	0.12	1	CD8 Teff
Cd44	0.03795630753341505	0.7468954216595824	0.662	0.56	1	CD8 Teff
Sema4a	0.007809230459691344	0.7467039609186426	0.353	0.08	1	CD8 Teff
Pgk1	0.007911829203719438	0.7447522887220402	0.453	0.16	1	CD8 Teff
Hspa9	0.01811125728195644	0.738026164669098	0.338	0.12	1	CD8 Teff
Atp2b1	0.02118891838924469	0.7338186181388526	0.712	0.64	1	CD8 Teff
Cap1	0.0038997292728718204	0.7257714035622597	0.489	0.16	1	CD8 Teff
Esf1	0.01097962746345798	0.7257359351488689	0.273	0.04	1	CD8 Teff
Cmtm7	0.021380646368493995	0.7177464113038142	0.396	0.16	1	CD8 Teff
Tubb5	0.014541079282184503	0.7148461387627087	0.475	0.2	1	CD8 Teff
Csnk2b	0.010438281465758705	0.7140035092822661	0.446	0.16	1	CD8 Teff
Cd3g	0.009908315537055732	0.7130074330284129	0.82	0.6	1	CD8 Teff
4930523C07Rik	0.03556822274936669	0.7077917010469983	0.727	0.64	1	CD8 Teff
Gzmk	0.027670312830503842	0.7052148974392416	0.237	0.04	1	CD8 Teff
Ms4a6b	0.002495797710539528	0.7039489832398191	0.784	0.48	1	CD8 Teff
Ly6a	0.136170885869092	0.7004834592935949	0.54	0.4	1	CD8 Teff
Il2rg	0.006084859229951457	0.6979219707279245	0.669	0.4	1	CD8 Teff
Ptbp3	0.015124783960137216	0.6968703584334692	0.698	0.56	1	CD8 Teff
Hip1	0.012583731491776991	0.6906015747507694	0.281	0.04	1	CD8 Teff
Plp2	0.03269865024890431	0.6895163745577164	0.302	0.12	1	CD8 Teff
Glipr2	0.009961243990148036	0.688643988524836	0.338	0.08	1	CD8 Teff
Cd47	0.010989651498136539	0.6849425260271484	0.835	0.68	1	CD8 Teff
Gas7	0.019543464123647176	0.6801457426531833	0.187	0	1	CD8 Teff
Nudc	0.009676904509719557	0.6764713956456919	0.288	0.04	1	CD8 Teff
Traf1	0.022407806760897212	0.6757190434957384	0.46	0.2	1	CD8 Teff
Setd1b	0.019013600310637008	0.6693436352439378	0.309	0.08	1	CD8 Teff
Txndc17	0.00883669113037011	0.6680559339365106	0.41	0.12	1	CD8 Teff
Gpr65	0.02460392934794065	0.6643351348628806	0.245	0.04	1	CD8 Teff
H2-Ab1	0.006123177560854204	0.663327118172842	0.245	0	1	CD8 Teff
Itgb2	0.05422538347980338	0.6625027898399507	0.568	0.44	1	CD8 Teff
Cd226	0.018294589209154718	0.6620873103353252	0.367	0.12	1	CD8 Teff
Atp5o	0.01333279832642309	0.6606217641240635	0.604	0.4	1	CD8 Teff
Psmd8	0.01442580061247718	0.659750978872444	0.46	0.2	1	CD8 Teff
Rabac1	0.009414137967881079	0.659603030785715	0.748	0.36	1	CD8 Teff
Calm1	0.0010119790422968783	0.6595103866991585	0.964	0.88	1	CD8 Teff
Polr2k	0.04835055501817428	0.6590762840675647	0.417	0.24	1	CD8 Teff
Pim1	0.013841901183335411	0.6586050161487789	0.669	0.4	1	CD8 Teff
Dynlrb1	0.018636223887818496	0.6554698026424285	0.446	0.2	1	CD8 Teff
Ccdc71l	0.014521714251218683	0.6530542687979477	0.259	0.04	1	CD8 Teff
Ifi47	0.03664746952391958	0.6521226466862537	0.223	0.04	1	CD8 Teff
Eif5	0.04149071827050556	0.6519666290233233	0.655	0.48	1	CD8 Teff
Psmb6	0.013825850855428487	0.6482708399513839	0.489	0.2	1	CD8 Teff
Ctsd	0.00887054761794187	0.6479963433033851	0.763	0.56	1	CD8 Teff
Taok1	0.04648356650608849	0.6471905454117347	0.338	0.16	1	CD8 Teff
Samm50	0.006123177560854204	0.6460142313146963	0.245	0	1	CD8 Teff
